2000, 2000
1818, 1380, 10
98, 723, 25
635, 1797, 22
1994, 1137, 25
1652, 1145, 25
1345, 797, 15
1794, 985, 15
24, 2, 30
1314, 491, 11
1820, 182, 20
8, 953, 24
1767, 189, 30
360, 80, 12
210, 1309, 29
688, 1386, 10
1767, 667, 10
1390, 766, 18
1102, 129, 17
25, 2000, 30
146, 1217, 11
1098, 1096, 13
935, 264, 17
1686, 1136, 28
469, 678, 28
408, 1592, 15
1136, 1812, 12
993, 1320, 18
1428, 1887, 16
25, 1999, 30
656, 223, 17
645, 1942, 26
274, 1609, 16
25, 2, 30
348, 1510, 16
975, 1764, 27
1050, 1001, 15
1207, 1052, 15
26, 2000, 30
1565, 654, 20
1343, 1703, 10
606, 1388, 17
177, 475, 21
26, 1999, 30
1319, 1969, 23
576, 192, 25
1693, 69, 17
1931, 1613, 12
185, 1955, 24
1529, 154, 13
26, 2, 30
422, 438, 15
1103, 1327, 13
455, 834, 28
173, 1289, 16
1135, 1744, 15
1242, 540, 29
1905, 479, 22
785, 927, 29
27, 2000, 30
1459, 435, 24
176, 736, 15
1509, 1576, 15
1737, 1015, 11
1081, 1395, 10
1727, 73, 10
1118, 104, 29
2000, 1342, 11
983, 257, 28
333, 1730, 20
27, 1999, 30
1695, 1119, 19
1196, 1137, 21
59, 748, 13
860, 412, 27
1032, 242, 25
1161, 83, 12
125, 1639, 18
27, 2, 30
413, 1534, 10
1667, 1153, 12
1630, 955, 25
799, 1208, 17
624, 1639, 16
1316, 837, 23
911, 1209, 17
236, 1689, 16
28, 2000, 30
1219, 1896, 21
1361, 1016, 26
767, 1464, 22
1374, 1755, 28
793, 1941, 19
136, 201, 27
1966, 1822, 28
831, 703, 25
320, 1906, 14
342, 1202, 16
28, 1999, 30
1126, 1221, 24
449, 1567, 28
1197, 1937, 10
1668, 1460, 18
1756, 1693, 29
316, 64, 22
1222, 112, 27
28, 2, 30
1562, 1276, 25
850, 1799, 13
1612, 1802, 13
1096, 1907, 23
1900, 1919, 16
773, 1453, 26
647, 177, 18
362, 1061, 25
291, 529, 21
29, 2000, 30
66, 959, 24
1106, 1866, 17
1170, 992, 22
546, 686, 10
1171, 1330, 21
415, 1724, 13
184, 1176, 19
1769, 229, 26
1435, 1132, 28
29, 1999, 30
1831, 775, 25
1194, 1454, 18
1848, 1996, 30
1181, 891, 23
29, 2, 30
698, 833, 14
553, 728, 16
709, 1429, 22
30, 2000, 30
1132, 392, 10
545, 870, 21
1117, 1598, 18
505, 1692, 14
1626, 1655, 15
303, 297, 26
30, 1999, 30
1642, 809, 14
1142, 1682, 13
1808, 165, 12
1030, 595, 22
30, 2, 30
246, 386, 13
1921, 999, 26
1346, 1952, 19
1478, 1034, 21
681, 1740, 19
464, 1580, 12
31, 2000, 30
639, 1818, 30
57, 1303, 27
132, 1388, 23
1230, 1769, 12
1455, 1489, 15
501, 449, 13
258, 462, 21
898, 649, 29
108, 648, 11
31, 1999, 30
1486, 1007, 23
1597, 1886, 15
877, 744, 18
1881, 1376, 14
532, 1667, 17
83, 662, 27
31, 2, 30
1577, 424, 29
1385, 834, 12
331, 641, 11
957, 1067, 30
367, 1876, 10
994, 760, 19
1252, 89, 27
1959, 1340, 23
461, 1337, 16
850, 554, 14
32, 2000, 30
1395, 479, 20
1804, 1517, 11
892, 1969, 19
1661, 1664, 14
169, 1620, 12
1847, 519, 12
280, 1862, 13
650, 337, 30
302, 257, 15
411, 1364, 22
32, 1999, 30
1192, 95, 25
1747, 1231, 29
559, 1248, 23
1225, 1706, 18
424, 1344, 24
1905, 1251, 15
1777, 978, 13
707, 1121, 15
1664, 1758, 30
1935, 395, 20
32, 2, 30
1857, 1142, 16
1053, 906, 21
562, 867, 25
1043, 1210, 29
581, 1227, 30
331, 1320, 27
33, 2000, 30
1110, 716, 16
406, 68, 18
491, 382, 27
1463, 66, 16
906, 1473, 12
174, 968, 12
1593, 1786, 10
33, 1999, 30
26, 1702, 10
1120, 907, 13
1565, 1748, 16
1775, 1124, 26
588, 1013, 20
1344, 721, 16
1179, 978, 16
1943, 946, 16
1216, 1025, 12
33, 2, 30
891, 1762, 22
1573, 811, 21
1017, 987, 16
874, 1590, 15
208, 1024, 15
1702, 1666, 30
1551, 1780, 24
212, 1071, 10
161, 203, 22
34, 2000, 30
864, 852, 28
1144, 1720, 14
992, 1705, 20
1190, 1559, 11
811, 1481, 17
896, 1529, 22
1267, 965, 18
895, 789, 13
48, 1193, 23
34, 1999, 30
189, 1097, 25
868, 865, 13
87, 1128, 12
131, 588, 16
910, 1596, 22
34, 2, 30
363, 1974, 19
1755, 1840, 16
1820, 1023, 19
850, 68, 14
282, 1455, 15
1978, 1321, 12
587, 1723, 18
1523, 559, 18
1790, 184, 21
35, 2000, 30
187, 1145, 11
765, 405, 20
1536, 1927, 26
569, 1822, 26
1896, 617, 12
1333, 1216, 26
486, 933, 23
35, 1999, 30
1182, 1232, 30
1047, 1549, 19
1351, 283, 24
1753, 1695, 30
75, 1967, 23
362, 714, 16
1915, 1967, 12
35, 2, 30
1926, 1862, 28
319, 749, 19
1896, 1283, 10
735, 82, 16
1915, 658, 28
297, 186, 12
1713, 691, 26
1539, 660, 17
36, 2000, 30
1841, 1029, 12
495, 1345, 14
773, 157, 19
99, 1827, 21
1801, 1766, 27
263, 182, 11
441, 1059, 22
331, 1422, 12
658, 1617, 19
36, 1999, 30
1869, 1566, 20
1568, 1331, 24
397, 1607, 12
1360, 117, 20
179, 181, 25
722, 1693, 20
36, 2, 30
1277, 210, 20
1186, 877, 27
201, 1435, 10
37, 2000, 30
1767, 1895, 14
1546, 1597, 21
21, 660, 23
1528, 741, 12
37, 1999, 30
1768, 1593, 24
1806, 1892, 22
514, 1429, 22
1674, 1561, 23
830, 79, 30
443, 1981, 12
1099, 1962, 13
1677, 63, 11
489, 381, 29
1441, 218, 20
37, 2, 30
1706, 695, 25
656, 918, 16
1324, 414, 17
620, 1776, 25
43, 1737, 25
744, 1223, 20
1242, 1731, 22
1723, 464, 24
38, 2000, 30
1157, 192, 29
1293, 985, 27
1410, 844, 13
1948, 1214, 24
1457, 1557, 27
958, 589, 27
1993, 405, 18
1569, 1949, 16
1245, 222, 21
1160, 289, 14
38, 1999, 30
1835, 255, 27
1949, 66, 22
31, 472, 29
1750, 1172, 16
1577, 1252, 23
113, 937, 11
1241, 651, 21
807, 1603, 18
223, 1404, 20
811, 790, 22
38, 2, 30
1606, 53, 27
13, 1024, 19
1562, 966, 16
525, 1152, 19
1080, 1060, 13
39, 2000, 30
1762, 1079, 16
793, 211, 25
875, 1750, 21
488, 1003, 13
1652, 224, 23
1898, 238, 21
1192, 321, 27
1208, 1882, 22
921, 1116, 28
39, 1999, 30
1722, 1881, 17
119, 147, 10
1388, 1652, 15
399, 1271, 27
1792, 1128, 11
5, 1516, 10
1652, 1421, 24
1012, 479, 23
1316, 807, 11
39, 2, 30
204, 766, 21
1859, 699, 23
285, 985, 20
149, 1361, 20
1666, 916, 24
1400, 1144, 16
1561, 932, 12
1326, 1862, 25
383, 609, 11
40, 2000, 30
104, 801, 19
517, 1691, 11
1795, 761, 10
1382, 473, 12
1503, 442, 20
88, 782, 11
1476, 459, 18
40, 1999, 30
1736, 120, 27
480, 903, 11
804, 1826, 13
1126, 363, 20
731, 812, 12
331, 115, 23
1163, 1333, 21
40, 2, 30
1588, 1345, 15
588, 1562, 19
1781, 1330, 11
1143, 1682, 18
597, 11, 14
473, 1826, 28
1572, 1337, 19
696, 683, 25
1706, 95, 29
41, 2000, 30
1270, 794, 26
1416, 971, 14
620, 879, 11
695, 210, 12
766, 741, 30
1353, 1286, 14
1061, 1802, 12
1026, 1121, 22
568, 1153, 11
41, 1999, 30
941, 724, 22
1704, 1150, 15
1349, 727, 21
1728, 1505, 22
227, 46, 30
1566, 675, 21
41, 2, 30
1584, 764, 25
353, 1469, 16
1541, 310, 25
1283, 492, 16
105, 985, 17
15, 1396, 18
1644, 1351, 28
67, 1206, 19
516, 1920, 30
1444, 1779, 30
42, 2000, 30
2, 235, 15
445, 1671, 17
584, 1357, 16
177, 1997, 22
42, 1999, 30
1327, 920, 22
39, 1102, 26
530, 752, 26
1781, 1064, 19
1971, 1122, 13
950, 284, 13
538, 352, 20
1314, 725, 29
42, 2, 30
340, 1272, 28
370, 1532, 10
244, 481, 23
41, 517, 29
1797, 1524, 17
617, 575, 14
1518, 1297, 12
43, 2000, 30
132, 1952, 18
790, 1627, 17
1422, 1108, 10
553, 567, 12
43, 1999, 30
998, 446, 14
26, 571, 15
553, 1082, 21
910, 379, 18
43, 2, 30
742, 725, 15
1777, 1767, 15
647, 663, 10
1878, 1424, 14
890, 227, 29
44, 2000, 30
96, 500, 14
1707, 719, 15
517, 142, 28
44, 1999, 30
1919, 1090, 17
1488, 1269, 10
1739, 988, 23
196, 1246, 18
702, 1948, 12
44, 2, 30
1413, 230, 14
1895, 1427, 10
1604, 1437, 28
870, 789, 17
154, 1199, 29
45, 2000, 30
437, 1634, 25
1924, 1321, 11
1521, 1678, 13
1612, 1191, 14
762, 1768, 30
45, 1999, 30
9, 1429, 22
610, 1862, 30
1438, 3, 16
1224, 300, 11
787, 135, 24
127, 861, 30
102, 243, 16
45, 2, 30
1140, 171, 29
1729, 1742, 12
1038, 1067, 19
211, 350, 30
1775, 540, 25
189, 1999, 19
1188, 1254, 13
289, 1161, 14
1032, 346, 20
46, 2000, 30
1029, 2, 26
857, 1282, 13
56, 1439, 22
593, 835, 17
1223, 792, 20
1776, 465, 14
640, 1386, 27
251, 1891, 10
1426, 1517, 10
46, 1999, 30
1654, 880, 30
1089, 1483, 28
1861, 227, 27
587, 1880, 22
1876, 1489, 15
1595, 779, 28
582, 915, 10
1266, 1024, 14
1184, 689, 20
46, 2, 30
1432, 1972, 26
627, 1924, 23
701, 1368, 27
239, 65, 15
1291, 82, 23
1725, 1632, 25
1451, 340, 14
385, 203, 19
1661, 1858, 14
47, 2000, 30
1939, 1601, 21
1091, 1257, 12
1835, 1351, 16
1820, 1857, 16
542, 1358, 23
294, 889, 21
47, 1999, 30
1934, 591, 14
325, 76, 17
1891, 1812, 10
1917, 768, 11
854, 798, 12
47, 2, 30
1940, 1944, 25
447, 1619, 14
982, 1385, 17
48, 2000, 30
1696, 1207, 25
539, 1899, 14
708, 1854, 13
1378, 1687, 19
1644, 707, 16
1489, 1632, 19
539, 408, 22
1940, 697, 16
1775, 833, 15
48, 1999, 30
1409, 287, 30
226, 881, 16
1477, 1663, 30
193, 559, 21
1615, 1840, 17
761, 2000, 17
915, 1119, 10
594, 556, 25
104, 834, 14
1333, 1750, 24
48, 2, 30
1136, 5, 23
480, 291, 20
1779, 1152, 13
385, 519, 25
49, 2000, 30
129, 1633, 27
114, 1405, 18
721, 1720, 18
1557, 528, 29
895, 230, 20
1592, 650, 22
864, 1215, 28
1492, 988, 22
49, 1999, 30
1072, 1526, 25
52, 1541, 18
1093, 1111, 17
329, 1773, 21
1375, 1892, 17
1302, 1985, 14
1407, 1178, 30
49, 2, 30
1461, 397, 28
1158, 807, 23
1765, 659, 25
50, 2000, 30
1634, 111, 21
1581, 758, 30
1631, 1811, 23
1759, 1874, 22
108, 405, 27
50, 1999, 30
809, 1768, 30
355, 89, 28
1592, 1557, 19
50, 2, 30
222, 1704, 14
699, 1343, 16
366, 291, 23
451, 59, 25
1157, 1329, 30
1056, 1656, 22
1773, 640, 23
108, 147, 25
352, 1255, 21
51, 2000, 30
238, 150, 14
1394, 790, 25
1701, 624, 10
1458, 1328, 11
1773, 1782, 10
768, 2000, 18
1308, 565, 18
1352, 1241, 13
1782, 778, 26
51, 1999, 30
905, 113, 19
1798, 222, 30
1248, 150, 12
1245, 207, 27
1677, 1696, 17
1466, 926, 16
51, 2, 30
1761, 1420, 17
268, 1416, 26
1952, 1315, 20
1650, 41, 16
1031, 777, 29
378, 715, 18
1204, 66, 24
1772, 1481, 18
595, 461, 24
864, 78, 26
52, 2000, 30
88, 209, 13
65, 728, 15
1822, 1401, 29
67, 1815, 17
1191, 400, 19
1735, 1960, 24
1525, 596, 28
1811, 1996, 21
52, 1999, 30
275, 1824, 27
1329, 1038, 19
925, 488, 26
1059, 838, 19
1759, 725, 21
52, 2, 30
1961, 115, 23
1374, 1726, 24
1294, 765, 26
1987, 108, 18
606, 149, 25
1106, 363, 21
63, 1202, 27
53, 2000, 30
805, 1409, 12
1998, 1344, 16
679, 1675, 10
37, 1112, 29
1075, 1301, 26
1598, 255, 29
1057, 202, 15
53, 1999, 30
245, 29, 27
1379, 820, 21
1878, 677, 13
1955, 1982, 28
1169, 1314, 27
1473, 245, 14
1612, 1529, 12
53, 2, 30
767, 1788, 22
1320, 1659, 18
1305, 1583, 20
584, 175, 20
353, 1554, 30
269, 748, 27
1856, 1177, 12
1279, 1168, 27
54, 2000, 30
926, 238, 18
517, 1338, 17
979, 1728, 20
54, 1999, 30
125, 736, 17
1438, 527, 11
178, 569, 26
1865, 135, 19
1605, 1094, 21
863, 1331, 24
54, 2, 30
675, 23, 26
1744, 1155, 11
126, 1034, 19
254, 1941, 22
874, 1189, 27
162, 182, 17
1115, 1695, 14
793, 705, 24
1361, 189, 21
1492, 1099, 21
55, 2000, 30
335, 1499, 28
672, 1046, 18
216, 438, 16
991, 1026, 27
167, 1904, 24
55, 1999, 30
1065, 1036, 27
38, 662, 16
929, 1755, 10
644, 1996, 13
1955, 267, 21
1044, 1242, 22
55, 2, 30
1291, 1200, 10
1537, 1637, 20
666, 1594, 15
493, 216, 21
1427, 653, 22
1196, 382, 24
1101, 1215, 28
821, 954, 30
915, 1607, 27
1696, 406, 26
56, 2000, 30
1061, 311, 10
1466, 1378, 22
1849, 1305, 21
1787, 966, 22
56, 1999, 30
1685, 1340, 27
718, 299, 20
1391, 334, 15
1952, 1507, 20
449, 1025, 10
56, 2, 30
1871, 101, 25
682, 45, 14
1249, 962, 29
1405, 1731, 26
1249, 994, 16
57, 2000, 30
1852, 526, 30
1834, 1150, 29
3, 943, 17
1262, 589, 13
589, 242, 29
57, 1999, 30
486, 431, 26
577, 198, 20
18, 486, 11
1904, 1422, 15
1973, 979, 28
1622, 801, 24
57, 2, 30
785, 1817, 19
57, 1229, 19
642, 528, 30
1625, 843, 21
1859, 1825, 24
80, 914, 17
58, 2000, 30
1073, 685, 14
1881, 1172, 17
906, 375, 21
1682, 1102, 14
1995, 238, 19
1510, 372, 29
615, 1415, 20
58, 1999, 30
284, 511, 24
864, 18, 15
1830, 309, 12
58, 2, 30
877, 459, 15
1086, 641, 28
185, 698, 16
59, 2000, 30
1512, 1078, 22
410, 362, 22
594, 1863, 11
861, 513, 13
1493, 660, 14
59, 1999, 30
813, 921, 26
716, 1615, 28
474, 533, 12
1660, 1470, 19
1795, 1219, 14
1821, 539, 16
59, 2, 30
1180, 434, 23
1353, 138, 11
1832, 556, 24
427, 1183, 11
476, 228, 23
122, 200, 29
223, 1415, 27
60, 2000, 30
1840, 769, 20
1238, 532, 10
1013, 358, 16
1267, 157, 23
60, 1999, 30
1675, 921, 13
1206, 475, 29
456, 1582, 21
1196, 1803, 10
1114, 342, 16
279, 679, 27
139, 1122, 26
1121, 725, 22
1681, 807, 24
1683, 1057, 26
60, 2, 30
403, 222, 23
1043, 480, 14
1745, 1867, 17
1629, 415, 18
61, 2000, 30
655, 180, 12
1655, 1404, 14
1240, 858, 27
254, 766, 30
1477, 1404, 18
391, 1781, 20
61, 1999, 30
1603, 419, 10
1146, 1605, 27
1072, 1302, 26
1271, 1910, 22
590, 103, 19
381, 1623, 29
1962, 341, 23
61, 2, 30
364, 1605, 14
495, 204, 13
67, 224, 26
1285, 1837, 21
1376, 1342, 25
1500, 364, 23
1037, 372, 22
1138, 392, 14
6, 1813, 14
62, 2000, 30
901, 531, 27
1622, 704, 11
181, 1703, 10
1745, 1043, 21
975, 1375, 22
589, 206, 16
1397, 1273, 24
1127, 689, 27
1852, 908, 10
62, 1999, 30
344, 237, 20
670, 1684, 26
1973, 855, 24
178, 1631, 13
944, 101, 18
502, 913, 20
968, 1820, 12
705, 49, 30
1748, 828, 12
564, 712, 16
62, 2, 30
743, 1753, 11
1079, 1338, 14
586, 228, 26
707, 1895, 15
1940, 921, 16
374, 1411, 13
744, 823, 13
433, 559, 18
465, 977, 21
52, 673, 13
63, 2000, 30
1793, 1209, 11
1596, 1893, 12
1192, 1786, 23
1987, 890, 16
622, 312, 15
1743, 1733, 13
679, 1288, 11
394, 1282, 14
1140, 1329, 29
1233, 774, 17
63, 1999, 30
1140, 1376, 16
1485, 800, 13
2, 1781, 25
468, 460, 20
63, 2, 30
596, 895, 29
1367, 850, 15
291, 1242, 16
1120, 1967, 28
813, 996, 24
64, 2000, 30
1942, 329, 26
748, 1680, 21
883, 1143, 15
789, 741, 18
572, 845, 15
64, 1999, 30
857, 1453, 26
1637, 430, 27
1703, 1651, 17
1597, 1482, 14
1362, 82, 20
591, 1057, 14
1098, 665, 29
402, 1640, 15
1348, 661, 10
1720, 592, 15
64, 2, 30
1361, 189, 15
1868, 1105, 11
349, 440, 15
1928, 161, 12
65, 2000, 30
962, 641, 17
1739, 1771, 12
1673, 229, 26
649, 351, 13
893, 444, 16
1878, 1789, 30
1071, 838, 28
128, 1163, 12
325, 1413, 20
65, 1999, 30
235, 1571, 17
167, 1430, 10
1465, 1158, 10
1331, 1584, 28
1704, 1730, 16
65, 2, 30
1960, 1234, 30
1090, 247, 24
573, 35, 11
66, 2000, 30
950, 1319, 15
1296, 314, 21
1284, 173, 18
1192, 773, 11
1543, 391, 25
259, 1473, 11
778, 413, 14
1190, 1449, 15
66, 1999, 30
1871, 190, 23
1199, 1541, 25
1486, 432, 27
296, 1526, 20
55, 1370, 26
1722, 1110, 30
938, 166, 15
862, 115, 16
66, 2, 30
487, 4, 25
1633, 359, 25
950, 1259, 29
1605, 1944, 16
864, 597, 24
1642, 1886, 21
104, 4, 11
115, 1396, 10
347, 1231, 29
1084, 163, 21
67, 2000, 30
781, 860, 15
180, 1481, 10
574, 1102, 16
1737, 217, 21
904, 1836, 18
392, 1912, 15
442, 725, 26
67, 1999, 30
506, 551, 26
965, 562, 22
291, 1043, 28
1205, 85, 23
1965, 1721, 16
1610, 917, 15
67, 2, 30
986, 463, 16
1857, 1157, 30
1267, 61, 22
360, 102, 18
1663, 233, 23
479, 492, 10
1275, 465, 19
